exam_year_roc,paper_code,paper_title,subject_primary,subsubject_primary,question_type,question_count
110,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,證券交易法,未分類,single_choice,10
111,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑事訴訟法,未分類,single_choice,25
111,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法,未分類,single_choice,35
111,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,法律倫理,未分類,single_choice,15
111,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際公法,未分類,single_choice,10
111,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際私法,未分類,single_choice,10
111,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法,未分類,single_choice,20
111,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,行政法,未分類,single_choice,35
111,3301,綜合法學(二)（民法、民事訴訟法）,民事訴訟法,未分類,single_choice,30
111,3301,綜合法學(二)（民法、民事訴訟法）,民法,親屬繼承,single_choice,16
111,3301,綜合法學(二)（民法、民事訴訟法）,民法,財產法,single_choice,34
111,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,保險法,未分類,single_choice,10
111,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法,未分類,single_choice,15
111,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,強制執行法,未分類,single_choice,10
111,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,法學英文,未分類,single_choice,15
111,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,票據法,未分類,single_choice,10
111,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,證券交易法,未分類,single_choice,10
112,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑事訴訟法,未分類,single_choice,25
112,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法,未分類,single_choice,35
112,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,法律倫理,未分類,single_choice,15
112,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際公法,未分類,single_choice,10
112,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際私法,未分類,single_choice,10
112,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法,未分類,single_choice,20
112,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,行政法,未分類,single_choice,35
112,3301,綜合法學(二)（民法、民事訴訟法）,民事訴訟法,未分類,single_choice,30
112,3301,綜合法學(二)（民法、民事訴訟法）,民法,親屬繼承,single_choice,15
112,3301,綜合法學(二)（民法、民事訴訟法）,民法,財產法,single_choice,35
112,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,保險法,未分類,single_choice,10
112,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法,未分類,single_choice,15
112,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,強制執行法,未分類,single_choice,10
112,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,法學英文,未分類,single_choice,15
112,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,票據法,未分類,single_choice,10
112,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,證券交易法,未分類,single_choice,10
113,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑事訴訟法,未分類,single_choice,25
113,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法,未分類,single_choice,35
113,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,法律倫理,未分類,single_choice,15
113,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際公法,未分類,single_choice,10
113,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際私法,未分類,single_choice,10
113,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法,未分類,single_choice,20
113,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,行政法,未分類,single_choice,35
113,3301,綜合法學(二)（民法、民事訴訟法）,民事訴訟法,未分類,single_choice,30
113,3301,綜合法學(二)（民法、民事訴訟法）,民法,親屬繼承,single_choice,15
113,3301,綜合法學(二)（民法、民事訴訟法）,民法,財產法,single_choice,35
113,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,保險法,未分類,single_choice,10
113,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法,未分類,single_choice,15
113,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,強制執行法,未分類,single_choice,10
113,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,法學英文,未分類,single_choice,15
113,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,票據法,未分類,single_choice,10
113,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,證券交易法,未分類,single_choice,10
114,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑事訴訟法,未分類,single_choice,25
114,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法,未分類,single_choice,35
114,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,法律倫理,未分類,single_choice,15
114,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際公法,未分類,single_choice,10
114,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際私法,未分類,single_choice,10
114,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法,未分類,single_choice,20
114,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,行政法,未分類,single_choice,35
114,3301,綜合法學(二)（民法、民事訴訟法）,民事訴訟法,未分類,single_choice,30
114,3301,綜合法學(二)（民法、民事訴訟法）,民法,親屬繼承,single_choice,15
114,3301,綜合法學(二)（民法、民事訴訟法）,民法,財產法,single_choice,35
114,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,保險法,未分類,single_choice,10
114,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法,未分類,single_choice,15
114,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,強制執行法,未分類,single_choice,10
114,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,法學英文,未分類,single_choice,15
114,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,票據法,未分類,single_choice,10
114,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,證券交易法,未分類,single_choice,10
